author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@173jaSon371,science,-0.91251546,,1,1.0,0.0
@17MrLeon,denial,-0.69556533,0.11408960025051275,2,1.0,0.0
@17MrLeon,science,-0.49866500280000003,0.31149174631821536,5,0.6,0.0
@17garm,science,-0.355008,,1,0.0,0.0
@17paulstremple,denial,-0.23773064,0.0,2,0.0,0.0
@180_S,science,0.943439,,1,0.0,1.0
@18_rabbit,denial,-0.47693172,,1,1.0,0.0
@19-7RS,science,0.18232664,,1,0.0,0.0
@1911mon,denial,-0.10970862,,1,0.0,0.0
@19374hklmaq,denial,-0.3466456,,1,0.0,0.0
@1940limited,denial,-0.74272114,,1,1.0,0.0
@1943vermork,science,-0.92744327,,1,1.0,0.0
@1947dave,science,-0.024658829,,1,0.0,0.0
@1960DLB,denial,0.87531096,,1,0.0,1.0
@1962Jocko,denial,-0.7578807,,1,1.0,0.0
@1969cmp,denial,-0.24129776,0.6226885269876078,2,0.5,0.0
@1969kodiakbear,science,-0.13528185,,1,0.0,0.0
@1969nitsuga,denial,-0.71455306,0.0,2,1.0,0.0
@1970pipeliner,denial,-0.9267832,,1,1.0,0.0
@1973HenkY,science,-0.7609853,,1,1.0,0.0
@1979Ragnarok,denial,-0.41899982,,1,0.0,0.0
@1982nsu,science,0.117201954,,1,0.0,0.0
@1986Dams,denial,-0.7788726,0.0,2,1.0,0.0
@1986tomdavies,denial,-0.84925535,0.03800425467448786,4,1.0,0.0
@1991RX-7,science,0.790139,,1,0.0,1.0
@1993Vatsal,science,0.961422,,1,0.0,1.0
@1997oreosFTW,science,-0.18480033,,1,0.0,0.0
@199NickYT,science,-0.70059675,,1,1.0,0.0
@19GHOOST,science,-0.19935712,,1,0.0,0.0
@19JimBob66,denial,-0.60133603,0.43775364377157366,2,0.5,0.0
@19missi59,denial,-0.026220992,,1,0.0,0.0
@1Airwaving,science,0.95754313,,1,0.0,1.0
@1Bigpain,science,0.31326243,,1,0.0,0.0
@1Bonnie777,denial,-0.56564814,,1,1.0,0.0
@1BruisedReed,denial,0.06262457,,1,0.0,0.0
@1CT1,denial,0.5523729,,1,0.0,1.0
@1DwtEaUn,denial,-0.37120336,,1,0.0,0.0
@1IteleportedBread,science,0.10908538,,1,0.0,0.0
@1JOCU1,denial,-0.77706313,,1,1.0,0.0
@1Kekz,science,-0.273398695,0.40292210820254587,2,0.5,0.0
@1Kent,science,-0.7897603,,1,1.0,0.0
@1LSWilliam,science,-0.45882514,,1,0.0,0.0
@1Learn2Swim3,denial,0.034301475,0.0,2,0.0,0.0
@1MinuteVibe007,science,0.9690248,,1,0.0,1.0
@1Mr_Dirt,denial,-0.4689657,,1,0.0,0.0
@1Mutton1,denial,-0.7442355,,1,1.0,0.0
@1ProsperousPlanet,science,0.96108025,,1,0.0,1.0
@1SpudderR,denial,0.36794272,0.0,2,0.0,0.0
@1TypicalKidd,denial,0.24143541,,1,0.0,0.0
@1adamgarcia2003,denial,-0.59728515,,1,1.0,0.0
@1asdfasdfasdf,denial,0.026333608,,1,0.0,0.0
@1badjesus,denial,0.75874764,0.0,2,0.0,1.0
@1caramarie,science,-0.5474946725000001,0.3521165081396542,4,0.75,0.0
@1crypto587,denial,0.94484264,,1,0.0,1.0
@1dash133,denial,0.11359787,0.0,2,0.0,0.0
@1dayUllC,denial,0.015520185,,1,0.0,0.0
@1dayUllC,science,0.06023999666666668,0.3944663533063212,3,0.0,0.3333333333333333
@1eftnut,denial,-0.6552371,0.0,2,1.0,0.0
@1faithchick7,science,-0.525225458,0.2307747299859296,5,0.4,0.0
@1family4me,science,-0.19970757066666667,0.20480408005087322,3,0.3333333333333333,0.0
@1gn30us,denial,-0.657721,,1,1.0,0.0
@1jediwitch,science,-0.5030187,,1,1.0,0.0
@1jktful,denial,-0.31366622,,1,0.0,0.0
@1jotun136,science,-0.05771631,,1,0.0,0.0
@1kili2,denial,-0.9205705,,1,1.0,0.0
@1lightheaded,denial,-0.69931626,0.0,2,1.0,0.0
@1metallicity,science,-0.6860983,,1,1.0,0.0
@1motoke,science,0.4099653,,1,0.0,0.0
@1nvertedReality,denial,0.14344192,,1,0.0,1.0
@1ofZero,denial,-0.59077053,0.16863347041891566,3,1.0,0.0
@1ono,denial,-0.8509135,,1,1.0,0.0
@1paupingson,science,0.979358,,1,0.0,1.0
@1pcfred,denial,-0.101828485,0.45570597478825364,2,0.0,0.0
@1pointt21gW,denial,-0.8108692,0.07439003754388084,2,1.0,0.0
@1reviravoltanotempo611,denial,0.36206177,,1,0.0,0.0
@1rjbender,science,-0.8248892,,1,1.0,0.0
@1royalpalm,science,-0.14567979,,1,0.0,0.0
@1stDrDead,denial,-0.8438662,,1,1.0,0.0
@1stGruhn,denial,-0.41266027,,1,0.0,0.0
@1stdefenseinc,science,-0.26710523865,0.3851768482448569,2,0.5,0.0
@1talhambra,science,0.019238569,,1,0.0,0.0
@1timbarrett,denial,-0.7051617,0.0,2,1.0,0.0
@1ucasvb,denial,-0.44120786,,1,1.0,0.0
@1windancer,denial,-0.6387292,,1,1.0,0.0
@1xm_mx1,denial,-0.7270172,,1,1.0,0.0
@1xtech443,science,0.9463368,,1,0.0,1.0
@1zcott,denial,0.77719957,,1,0.0,1.0
@2.0-kl7kv,science,-0.25378415,,1,0.0,0.0
@20-Foot-Anaconda,denial,0.009279981,,1,0.0,0.0
@20-Foot-Anaconda,science,-0.6545416362500001,0.22663477362190101,8,0.875,0.0
@2004done-Stll,denial,-0.16139472,,1,0.0,0.0
@2010sjay,denial,-0.38451847,,1,1.0,0.0
@2011ESD,denial,-0.47106403,,1,1.0,0.0
