camp,community,community_size,mean_compound,pct_negative,active_users
denial,533,3,0.3655326212051282,0.15384615384615385,3
denial,537,3,-0.18232581222222222,0.25,3
denial,547,3,-0.47968240047619054,0.7380952380952381,3
denial,556,3,-0.23502463750000002,0.25,2
denial,557,3,-0.39929431499999996,0.3333333333333333,3
denial,571,3,-0.743057415,0.8888888888888888,3
denial,572,3,-0.08824909399999999,0.5,3
denial,581,3,-0.45448651291666664,0.7083333333333334,3
denial,589,3,-0.15281284500000003,0.6666666666666666,3
denial,597,3,-0.5034046085714285,0.8333333333333334,3
denial,601,3,-0.09830028877777776,0.3888888888888889,3
denial,611,3,-0.42682280583333326,0.4166666666666667,3
denial,636,3,-0.33265938,0.4444444444444444,3
denial,638,3,-0.06848086999999999,0.4444444444444444,3
denial,639,3,-0.7995089675,1.0,2
denial,640,3,-0.003927574999999998,0.16666666666666666,3
denial,673,3,-0.5346891866666666,0.6666666666666666,3
denial,682,3,-0.6307853683333333,0.9444444444444445,3
denial,683,3,-0.5527796974242424,0.8030303030303031,3
denial,730,3,-0.13550420794444443,0.4444444444444444,3
denial,762,3,0.25352799433333334,0.0,3
denial,787,3,-0.27602315,0.5,2
denial,792,3,-0.59389605,0.6666666666666666,3
denial,803,3,-0.30432431216666667,0.5333333333333333,3
denial,7,2,-0.39452214166666666,0.5,2
denial,9,2,-0.8879059924999999,1.0,2
denial,13,2,-0.42430415749999995,0.75,2
denial,19,2,-0.614767155,0.75,2
denial,23,2,-0.0919114975,0.0,2
denial,24,2,-0.40403407999999996,0.625,2
denial,25,2,-0.042365649375000036,0.25,2
denial,32,2,0.08734111650000001,0.0,2
denial,33,2,-0.42974079499999995,0.75,2
denial,36,2,-0.011583924999999995,0.5,2
denial,38,2,-0.14460227666666667,0.5,2
denial,40,2,-0.174105526,0.25,2
denial,41,2,-0.6175593516666666,1.0,2
denial,42,2,-0.5654478350000001,1.0,2
denial,48,2,0.19625513500000002,0.5,1
denial,49,2,-0.39070401742500005,0.55,2
denial,50,2,-0.19636654,0.0,2
denial,52,2,-0.215449948,0.25,2
denial,53,2,-0.58296429,0.8333333333333333,2
denial,61,2,-0.35414968,0.25,2
denial,62,2,0.230972545,0.25,2
denial,65,2,-0.6730883366666667,1.0,2
denial,66,2,0.0485869745,0.0,2
denial,67,2,0.04744815570000001,0.1,2
denial,73,2,0.16602603333333338,0.5,2
denial,74,2,-0.390178364375,0.625,2
denial,76,2,-0.2150327516666667,0.0,2
denial,81,2,0.1183436725,0.0,2
denial,82,2,-0.645207526,0.8333333333333333,2
denial,83,2,-0.23293961749999997,0.5,2
denial,85,2,-0.45159638333333335,0.6666666666666666,2
denial,86,2,-0.72740938,0.75,2
denial,87,2,-0.395251295,0.75,2
denial,88,2,-0.43924206,0.875,2
denial,89,2,-0.2819970975,0.5,2
denial,90,2,-0.13605963875,0.25,2
denial,91,2,-0.3903135735,0.5,2
denial,92,2,0.15123108975,0.25,2
denial,94,2,-0.04179256715384615,0.11538461538461539,2
denial,95,2,-0.565665078125,0.625,2
denial,96,2,0.46815510000000005,0.25,2
denial,97,2,0.111571315,0.5,1
denial,98,2,-0.41177131330000005,0.5,2
denial,100,2,-0.10232387416666669,0.5,2
denial,102,2,0.4231935875,0.0,2
denial,104,2,0.054401007500000015,0.25,2
denial,105,2,-0.24866348625,0.5,2
denial,106,2,-0.24754078249999995,0.25,2
denial,108,2,0.22075561999999999,0.5,2
denial,109,2,-0.23536825,0.75,2
denial,110,2,-0.8349563,1.0,2
denial,111,2,-0.6007219458333333,0.8333333333333333,2
denial,112,2,0.39030317833333333,0.16666666666666666,2
denial,115,2,-0.30694640775,0.125,2
denial,117,2,-0.293003065,0.25,2
denial,118,2,-0.5120149292857142,0.35714285714285715,2
denial,119,2,-0.0340086005,0.0,2
denial,120,2,-0.6992167575,1.0,2
denial,122,2,-0.587748335,0.5,2
denial,123,2,0.031771135000000006,0.25,2
denial,125,2,-0.09959754500000001,0.5,2
denial,127,2,0.19611666,0.0,2
denial,128,2,-0.73169951,1.0,2
denial,131,2,-0.5153459825,0.875,2
denial,134,2,-0.64340392625,0.875,2
denial,136,2,-0.660019905,0.75,2
denial,138,2,0.35293049499999996,0.3333333333333333,2
denial,142,2,-0.24331414,0.75,2
denial,144,2,-0.48705191999999997,0.5,1
denial,145,2,-0.17058223625,0.25,2
denial,146,2,-0.45727379133333335,0.6666666666666666,2
denial,148,2,0.363108545,0.0,2
denial,149,2,-0.265846013,0.25,2
denial,152,2,-0.6592468175,1.0,2
denial,153,2,-0.43988580525000004,0.5,2
denial,154,2,0.59441927275,0.0,2
denial,155,2,-0.713969,1.0,1
denial,159,2,-0.4646017741666667,0.5833333333333333,2
denial,160,2,-0.11049548866666667,0.16666666666666666,2
denial,161,2,0.0560337875,0.0,2
denial,162,2,-0.531847285,0.8333333333333333,2
denial,164,2,-0.846097965,1.0,2
denial,167,2,0.56796062,0.0,1
denial,170,2,-0.2208856775,0.0,2
denial,171,2,-0.51781684,1.0,1
denial,172,2,-0.050904065,0.25,2
denial,173,2,-0.4366792533333333,0.6666666666666666,2
denial,174,2,0.13110585,0.0,2
denial,175,2,-0.273710201,0.25,2
denial,176,2,-0.359628078,0.25,2
