in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity
4,0,0.0006732012826355617,0.0,-2.186389638251988e-18,0.0,0.027176457879593108,@LactationDuct,science,1
0,2,0.00024966984898537066,0.0,2.003611684483554e-18,0.0,0.0,@AlexMx-c3f,science,3
2,2,0.00046143556581046614,0.0,-2.1969939432811595e-18,0.0,0.013588228939796552,@Alexandra9390,science,2
6,0,0.0010658494034083733,0.0,-6.400357481555364e-18,0.0,0.048954595583818775,BBC,science,0
0,2,0.00024966984898537066,0.0,-1.5057354151940627e-18,0.0,0.0,@AllOne95,science,2
2,0,0.00046143556581046614,0.0,-5.002951903269718e-18,0.0,0.013588228939796552,@MattFenlon,science,1
0,4,0.00024966984898537066,0.0,-2.8922540651488102e-18,0.0,0.0,@AlsanPine,science,5
2,0,0.0003555527073979184,0.0,-3.2457023875449004e-18,0.0,0.008794114469898275,@bibliotek42,science,1
2,0,0.0003555527073979184,0.0,-4.926595719880759e-18,0.0,0.008794114469898275,@warpmonkey,science,1
0,2,0.00024966984898537066,0.0,-2.0773391669509281e-19,0.0,0.0,@AmericatheBeautiful-p4z,science,17
2,0,0.00046143556581046614,0.0,1.997033730403143e-18,0.0,0.013588228939796552,@domalash,science,1
0,2,0.00024966984898537066,0.0,-5.63816083488428e-19,0.0,0.0,@AmitTomar-b8w,science,2
4,0,0.0006732012826355617,0.0,3.2285326202186608e-18,0.0,0.027176457879593108,Khan Global Studies,science,0
0,2,0.00024966984898537066,0.0,-2.488742333418821e-19,0.0,0.0,@AmorWithoutBorders,science,2
2,0,0.00046143556581046614,0.0,1.7077115507431946e-18,0.0,0.013588228939796552,Johnny Harris,science,0
0,2,0.00024966984898537066,0.0,-4.765618678877504e-19,0.0,0.0,@Andomosity,science,2
2,0,0.00046143556581046614,0.0,1.3167705073786963e-18,0.0,0.013588228939796552,@gerretw,science,1
0,3,0.00024966984898537066,0.0,3.776033252366807e-19,0.0,0.0,@AnkurShah,science,3
17,0,0.0016473235800310011,0.0,-5.021858895181592e-19,0.0,0.09728231100265727,zentouro,science,0
0,2,0.00024966984898537066,0.0,3.4185194578969817e-19,0.0,0.0,@Anonymous-so3mg,science,2
