in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity,mean_compound,pct_negative,n_comments
0,3,0.0002496698489853,0.0,6.190055787823738e-19,0.0,0.0,@Bob-hq5lj,science,3,-0.4224341833333334,0.6666666666666666,3.0
3,0,0.0004614355658104,0.0,-3.5638185541112155e-18,0.0,0.0155882289397965,@gulf_of_mexxico,science,1,-0.5383905,1.0,1.0
0,2,0.0002496698489853,0.0,3.3922701700018863e-20,0.0,0.0,@BobSaget6365,science,2,-0.49256934,0.5,2.0
2,0,0.0004614355658104,0.0,3.1640512820968897e-18,0.0,0.0135882289397965,@perrysanders8433,science,1,-0.473269485,0.5,2.0
0,2,0.0002496698489853,0.0,-4.936348515777008e-19,0.0,0.0,@BodhiSoftMobileApps,science,2,-0.046296149999999994,0.0,2.0
2,0,0.0004614355658104,0.0,-3.988419583303065e-18,0.0,0.0135882289397965,@SuperchargedCow,science,1,0.13950327,0.0,1.0
0,2,0.0002496698489853,0.0,3.0874749841261644e-18,0.0,0.0,@BrentonSmythesfieldsaye,science,5,-0.403382716,0.8,5.0
2,2,0.0004614355658104,0.0,2.250539386164452e-18,0.0,0.0135882289397965,@bmccameron7642,science,3,-0.585316544,0.8,5.0
0,2,0.0002496698489853,0.0,-4.111634840863853e-18,0.0,0.0,@BrianPicht,science,2,-0.641304635,0.5,2.0
2,0,0.0004614355658104,0.0,-7.572026849762123e-19,0.0,0.0135882289397965,@eileenstevens8018,science,1,-0.3898554,0.0,1.0
0,3,0.0002496698489853,0.0,-2.59780730150994e-20,0.0,0.0,@Brianpeckin,science,3,-0.48712129666666665,0.3333333333333333,3.0
5,0,0.0006732012826355,0.0,5.913704946490458e-18,0.0,0.0291764578795931,@ffxim,science,1,-0.29031673,0.0,1.0
0,2,0.0002496698489853,0.0,-1.376843421528283e-18,0.0,0.0,@BrotherPatriot,science,3,0.028104521333333327,0.0,3.0
2,0,0.0004614355658104,0.0,-3.1952726616363505e-19,0.0,0.0135882289397965,@danielwilliamson3968,science,1,-0.39649898,1.0,1.0
0,3,0.0002496698489853,0.0,-2.7667757050236306e-19,0.2951807228915662,0.0707831325301204,@Brownhare09734,science,3,0.7610355033333333,0.0,3.0
100,0,0.0090840737062461,0.0,-4.322260101683975e-17,0.4170212765957446,0.7000000000000001,Paul Beckwith,science,0,0.0,,
0,2,0.0002496698489853,0.0,-1.3887762650676452e-18,0.0,0.0,@BuffCrusader123,science,2,-0.319656655,0.0,2.0
2,0,0.0004614355658104,0.0,-2.630426392425005e-18,0.0,0.0135882289397965,@guyonthecouch007,science,1,-0.381381005,0.5,2.0
0,2,0.0002496698489853,0.0,-5.124857953133758e-19,0.0,0.0,@Burdjuice,science,2,-0.22230851499999998,0.5,2.0
2,0,0.0004614355658104,0.0,-2.9413524956525564e-18,0.0,0.0135882289397965,@matthewbruh1326,science,1,0.90488124,0.0,1.0
0,4,0.0002496698489853,0.0,2.7530997091996438e-18,0.0,0.0,@BythepeopleForthepeople203,science,5,-0.005102767999999991,0.2,5.0
2,0,0.0003555527073979,0.0,-3.8062306324534564e-18,0.0,0.0087941144698982,@libertyforever4270,science,1,-0.2886894366666667,0.3333333333333333,3.0
