author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type,mean_compound,n_comments
@someguy2135,7,3,10,0.7,balanced,-0.048405265428571424,10
@RussCR5187,1,9,10,0.1,denial-leaning,-0.4900982338888889,10
@karolinahagegard,8,2,10,0.8,science-leaning,0.15207882012499999,10
@OldScientist,5,5,10,0.5,balanced,-0.14144132259999997,10
@nenmaster5218,4,6,10,0.4,balanced,0.2809729454166667,10
@nyali2,4,6,10,0.4,balanced,-0.3882690501666667,10
@jrjohnryanjr,4,6,10,0.4,balanced,-0.13051318154166666,10
@rodkeh,7,3,10,0.7,balanced,-0.5861023607142857,10
@tvuser9529,5,5,10,0.5,balanced,-0.011632582099999997,10
@AlsanPine,7,3,10,0.7,balanced,-0.6943809304761905,10
@tuckerbugeater,7,3,10,0.7,balanced,-0.6793267028809524,10
@ika5666,1,8,9,0.1111111111111111,denial-leaning,-0.8436675525,9
@a.randomjack6661,4,5,9,0.4444444444444444,balanced,0.027254044000000005,9
@libertyforever4270,3,6,9,0.3333333333333333,balanced,-0.23326239166666668,9
@dr_shrinker,4,5,9,0.4444444444444444,balanced,-0.5395104687500001,9
@kurzgesagt,4,5,9,0.4444444444444444,balanced,0.9345338795,9
@nikitaw1982,1,8,9,0.1111111111111111,denial-leaning,0.33864897293749996,9
@nrqed,1,8,9,0.1111111111111111,denial-leaning,-0.7073938424999999,9
@TheCountess666,3,6,9,0.3333333333333333,balanced,-0.483709395,9
@Sivah_Akash,8,1,9,0.8888888888888888,science-leaning,0.134329402625,9
@roberthicks1612,8,1,9,0.8888888888888888,science-leaning,-0.483539615,9
@michaelrch,3,6,9,0.3333333333333333,balanced,-0.4672720408333333,9
@phil20_20,8,1,9,0.8888888888888888,science-leaning,-0.16217671781249998,9
@darylfoster7944,2,7,9,0.2222222222222222,denial-leaning,-0.2730489445,9
@philipm3173,8,1,9,0.8888888888888888,science-leaning,-0.595650205,9
@tuberroot1112,2,7,9,0.2222222222222222,denial-leaning,-0.6550799135714286,9
@MrMezmerized,1,8,9,0.1111111111111111,denial-leaning,-0.3493727225,9
@MrOTLChamp,8,1,9,0.8888888888888888,science-leaning,0.051251777624999995,9
@gandolfthewhite,1,8,9,0.1111111111111111,denial-leaning,-0.8079031750000001,9
@portfolio91,4,5,9,0.4444444444444444,balanced,-0.3092604457,9
@OldJackWolf,5,4,9,0.5555555555555556,balanced,-0.15180970100000002,9
@earldecker7760,2,7,9,0.2222222222222222,denial-leaning,-0.4410126069285714,9
@freedomforlove101,5,4,9,0.5555555555555556,balanced,-0.6035547485,9
@mafarmerga,3,6,9,0.3333333333333333,balanced,0.30649841991666665,9
@hg2.,6,3,9,0.6666666666666666,balanced,-0.43954975166666665,9
@20-Foot-Anaconda,8,1,9,0.8888888888888888,science-leaning,-0.322630827625,9
@mathboy8188,1,8,9,0.1111111111111111,denial-leaning,0.13550410749999997,9
@metaldetektordk,3,6,9,0.3333333333333333,balanced,0.8652819075,9
@jayejaycurry5485,6,3,9,0.6666666666666666,balanced,-0.4647982574166667,9
@-LightningRod-,6,2,8,0.75,science-leaning,-0.2617365294166667,8
@Alexander_Kale,5,3,8,0.625,balanced,-0.3365606533333333,8
@jeffreyluciana8711,5,3,8,0.625,balanced,-0.07892035466666666,8
@robertdouglas8895,7,1,8,0.875,science-leaning,-0.4508882864285714,8
@roberthicks5454,2,6,8,0.25,denial-leaning,-0.4093513753333333,8
@thurmanzhou1304,3,5,8,0.375,balanced,-0.18816638400000005,8
@kein_indianer,1,7,8,0.125,denial-leaning,-0.030095914999999973,8
@Woltato,3,5,8,0.375,balanced,-0.5012818219999999,8
@volkerengels5298,6,2,8,0.75,science-leaning,-0.35589215966666665,8
@nsbd90now,5,3,8,0.625,balanced,0.01728110599999999,8
@gehwissen3975,7,1,8,0.875,science-leaning,-0.42761988957142855,8
@ralphholiman7401,7,1,8,0.875,science-leaning,-0.5299494004285714,8
@johanponken,2,6,8,0.25,denial-leaning,-0.3679469006666667,8
@denisdaly1708,3,5,8,0.375,balanced,-0.3475910223333334,8
@richarddobreny6664,3,5,8,0.375,balanced,-0.1879244762316667,8
@incognitotorpedo42,5,3,8,0.625,balanced,-0.37849014833333333,8
@michaeldeierhoi4096,1,7,8,0.125,denial-leaning,-0.2081953727857143,8
@proudhon100,1,7,8,0.125,denial-leaning,-0.10736656685714287,8
@Crispr_CAS9,2,6,8,0.25,denial-leaning,-0.6715782674999999,8
@adrianthoroughgood1191,4,4,8,0.5,balanced,-0.41672387200000005,8
@ambientcarrot,4,4,8,0.5,balanced,-0.33576467449999997,8
@dtz1000,6,2,8,0.75,science-leaning,-0.2189868783333333,8
@drunkenhobo5039,2,6,8,0.25,denial-leaning,-0.3424955741666667,8
@QT5656,5,3,8,0.625,balanced,-0.2020407349333333,8
@albin4323,3,5,8,0.375,balanced,-0.39372764633333335,8
@17MrLeon,5,2,7,0.7142857142857143,science-leaning,-0.5971151664000001,7
@peetsnort,6,1,7,0.8571428571428571,science-leaning,-0.18224355068166667,7
@ddoumeche,2,5,7,0.2857142857142857,denial-leaning,-0.24507098684999998,7
@frede1905,1,6,7,0.1428571428571428,denial-leaning,-0.407374347,7
@thoutube9522,6,1,7,0.8571428571428571,science-leaning,0.28750676383333335,7
@itsmorphed6416,6,1,7,0.8571428571428571,science-leaning,-0.154863064,7
@cdmarshall7448,6,1,7,0.8571428571428571,science-leaning,-0.5038605285,7
@thomasmartin406,6,1,7,0.8571428571428571,science-leaning,-0.09778774666666668,7
@baneverything5580,4,3,7,0.5714285714285714,balanced,-0.5141802295833333,7
@outbackeddie,1,6,7,0.1428571428571428,denial-leaning,-0.2819595233333333,7
@BrianBellia,1,6,7,0.1428571428571428,denial-leaning,0.2728936141666667,7
@johnchandler1687,1,6,7,0.1428571428571428,denial-leaning,-0.159056295,7
